25时miku,25-ji miku
奈亚子（潜行吧！奈亚子）,nyarlathotep (nyaruko-san)
妮娅塔莎·妮娅丝（Vshojo）,nyatasha nyanners
妮姆芙（天降之物）,nymph (sora no otoshimono)
女天狗（死或生）,nyotengu
涅托（少女前线）,nyto (girls' frontline)
奥伯龙（Fate系列）,oberon (fate)
奥伯龙（第一阶段）（Fate系列）,oberon (first ascension) (fate)
奥伯龙（第三阶段）（Fate系列）,oberon (third ascension) (fate)
朧（舰队Collection）,oboro (kancolle)
触手少女（Splatoon）,octoling girl
织田信长（Fate系列）,oda nobunaga (fate)
织田信长（Fate/KOHA-ACE）,oda nobunaga (koha-ace)
织田信长（魔王复仇者）（Fate系列）,oda nobunaga (maou avenger) (fate)
织田信长（泳装狂战士Ver.）（Fate系列）,oda nobunaga (swimsuit berserker) (fate)
大神一郎（樱花大战）,ogami sakura
绪方智绘里（偶像大师灰姑娘女孩）,ogata chieri
尾形百之助（黄金神威）,ogata hyakunosuke
荻野千寻（千与千寻）,ogino chihiro
小栗帽（赛马娘）,oguri cap (umamusume)
小原鞠莉（LoveLive!Sunshine!!）,ohara mari
大石泉（偶像大师灰姑娘女孩）,ohishi izumi
Ohr（碧蓝档案）,ohr (blue archive)
大槻唯（灰姑娘女孩）,ohtsuki yui
及川雫（偶像大师灰姑娘女孩）,oikawa shizuku
樱花朝日（别当欧尼酱了！）,oka asahi
冈部伦太郎（命运石之门）,okabe rintarou
冈田以藏（Fate系列）,okada izou (fate)
冈崎朋也（CLANNAD）,okazaki tomoya
冈崎梦美（东方Project）,okazaki yumemi
冲田总司·J（Fate系列）,okita j. souji (fate)
冲田总司·J（第一阶段）（Fate系列）,okita j. souji (first ascension) (fate)
冲田总司（Fate系列）,okita souji (fate)
冲田总司（Fate/KOHA-ACE）,okita souji (koha-ace)
冲田总司Alter（Fate系列）,okita souji alter (fate)
冲田总司Alter（第一阶段）（Fate系列）,okita souji alter (first ascension) (fate)
冲田总司Alter（第二阶段）（Fate系列）,okita souji alter (second ascension) (fate)
奥村春（女神异闻录5）,okumura haru
奥野田美宵（东方Project）,okunoda miyoi
奥利薇（宝可梦）,oleana (pokemon)
奥尔加玛丽·阿尼姆斯菲亚（Fate系列）,olga marie animusphere
奥利玛（皮克敏）,olimar
奥利薇（火焰之纹章）,olivia (fire emblem)
王马小吉（弹丸论破）,oma kokichi
尾丸波尔卡（Hololive）,omaru polka
尾丸波尔卡（初始服装）（Hololive）,omaru polka (1st costume)
Omori（OMORI）,omori (omori)
ONE（CeVIO）,one (cevio)
鬼切（猫又小粥）,onigirya (nekomata okayu)
鬼塚夏美（LoveLive！ Superstar!!）,onitsuka natsumi
小野冢小町（东方Project）,onozuka komachi
大井（舰队Collection）,ooi (kancolle)
大井改二（舰队Collection）,ooi kai ni (kancolle)
大神澪（Hololive）,ookami mio
大神澪（初始服装）（Hololive）,ookami mio (1st costume)
大神澪·私服（Hololive）,ookami mio (casual)
大神澪·夏日2019（Hololive）,ookami mio (hololive summer 2019)
大熊里美（男装女孩与娇娇女）,ookuma satomi
大室樱子（摇曳百合）,oomuro sakurako
大野绫（少女与战车）,oono aya (girls und panzer)
大泽绫（在意的人不是他),oosawa aya
大潮（舰队Collection）,ooshio (kancolle)
大潮改二（舰队Collection）,ooshio kai ni (kancolle)
大好真真子（平砍顺劈带连击的妈妈你喜欢吗？）,oosuki mamako
凤笑梦（世界计划）,ootori emu
大淀（舰队Collection）,ooyodo (kancolle)
大空昴（Hololive）,oozora subaru
大空昴·私服（Hololive）,oozora subaru (casual)
奥菲莉娅·法姆索罗涅（Fate/Grand Order）,ophelia phamrsolone
橙黄白毫（少女与战车）,orange pekoe (girls und panzer)
折木奉太郎（冰菓）,oreki houtarou
折部安奈（爱杀宝贝）,oribe yasuna
奥莉叶·巴拉迪亚（UNDER NIGHT IN-BIRTH）,orie ballardiae harada
奥特琳德（Fate系列）,ortlinde (fate)
樱坂雫（LoveLive! 虹咲学园学园偶像同好会）,osaka shizuku
刑部姬（Fate系列）,osakabehime (fate)
大崎甘奈（偶像大师 闪耀色彩）,osaki amana
大崎甜花（偶像大师 闪耀色彩）,osaki tenka
大泽瑠璃乃（莲之空女学院学园偶像俱乐部）,osawa rurino
水水獭（宝可梦）,oshawott
押田流歌（少女与战车）,oshida (girls und panzer)
忍野扇（物语系列）,oshino ougi
忍野忍（物语系列）,oshino shinobu
御手杵（刀剑乱舞）,otegine
音葵（蔚蓝档案）,otogi (blue archive)
乙宗梢（莲之空女学院学园偶像俱乐部）,otomune kozue
音无春奈（闪电十一人Reloaded）,otonashi haruna
音无小鸟（偶像大师）,otonashi kotori
音乃濑奏（Hololive）,otonose kanade
音乃濑奏（初始服装）（Hololive）,otonose kanade (1st costume)
OTs-14（少女前线）,ots-14 (girls' frontline)
黄前久美子（吹响！上低音号）,oumae kumiko
欧罗·克洛尼（Hololive）,ouro kronii
欧罗·克洛尼 第1衣装（Hololive）,ouro kronii (1st costume)
欧罗·克洛尼 私服（Hololive）,ouro kronii (casual)
尾张（碧蓝航线）,owari (azur lane)
绪山真寻（别当欧尼酱了！）,oyama mahiro
绪山美波里（别当欧尼酱了！）,oyama mihari
亲潮（舰队Collection）,oyashio (kancolle)
奥兹（原神）,oz (genshin impact)
奥森（来自深渊）,ozen
大空明（偶像活动）,ozora akari
P头制作人（偶像大师）,p-head producer
P90（少女前线）,p90 (girls' frontline)
PA-15（少女前线）,pa-15 (girls' frontline)
派蒙（原神）,paimon (genshin impact)
圣骑士（最终幻想）,paladin (final fantasy)
帕拉（火焰纹章）,palla (fire emblem)
帕拉斯（明日方舟）,pallas (arknights)
帕露蒂娜（任天堂明星大乱斗）,palutena
水星纪念（碧蓝航线）,pamiat merkuria (azur lane)
彩歌（异度神剑）,pandoria (xenoblade)
帕内特（火焰纹章）,panette (fire emblem)
黑猫（女神异闻录5）,panther (persona 5)
Panty（吊带袜天使）,panty (psg)
帕皮（魔物娘的同居日常）,papi (monster musume)
帕朵菲莉丝（崩坏3rd）,pardofelis
半龙女仆·客厅龙女（游戏王）,parlor dragonmaid
帕尔瓦蒂（Fate系列）,parvati (fate)
帕斯卡（传说系列）,pascal (tales)
热情迷唇（Fate系列）,passionlip (fate)
帕秋莉·诺蕾姬（东方Project）,patchouli knowledge
保罗·班扬（Fate系列）,paul bunyan (fate)
帕沃莉亚·蕾内（Hololive）,pavolia reine
帕沃莉亚·蕾内第1衣装（Hololive）,pavolia reine (1st costume)
帕雅（塞尔达传说）,paya (zelda)
蜜桃真纪（鬼灯的冷彻）,peach maki
珍珠（喷射战士2）,pearl (splatoon)
佩可莉姆（公主连结）,pecorine (princess connect!)
佩可莉姆·泳装（公主连结）,pecorine (summer) (princess connect!)
边古山边古（弹丸论破）,pekoyama peko
斥罪（明日方舟）,penance (arknights)
牡丹（宝可梦）,penny (pokemon)
潘妮·波伦迪娜（RWBY）,penny polendina
彭忒西勒亚（Fate系列）,penthesilea (fate)
佩帕罗妮（少女与战车）,pepperoni (girls und panzer)
调香师（明日方舟）,perfumer (arknights)
佩洛洛（蔚蓝档案）,peroro (blue archive)
佩琳·克洛斯特曼（强袭魔女）,perrine h. clostermann
英仙座（碧蓝航线）,perseus (azur lane)
英仙座·生疏的执勤时间（碧蓝航线）,perseus (unfamiliar duties) (azur lane)
珀斯（舰队Collection）,perth (kancolle)
彼得·帕克（蜘蛛侠）,peter parker
Petra Gurin（彩虹社）,petra gurin
白厄（崩坏：星穹铁道）,phainon (honkai  star rail)
傀影（明日方舟）  ,phantom (arknights)
法老之鹰（守望先锋）  ,pharah (overwatch)
成步堂龙一（逆转裁判）  ,phoenix wright
磷叶石（宝石之国）  ,phosphophyllite
磷叶石II（宝石之国）,phosphophyllite (ll)
皮丘（宝可梦）  ,pichu
pien cat（主播女孩重度依赖）,pien cat (needy girl overdose)
聂梓（宝可梦）,piers (pokemon)
皮尔斯·尼文斯（生化危机）,piers nivans (resident evil)
皮卡丘（宝可梦）  ,pikachu
皮克尔（Pikl）（宠物）（VTuber）,pikl (elira pendora)
毕娜（刀剑神域）,pina (sao)
派茵（轰炸少女）,pine (bombergirl)
松果（明日方舟）  ,pinecone (arknights)
平海（碧蓝航线）  ,ping hai (azur lane)
萍琪派（小马宝莉）  ,pinkie pie
皮皮美（Pop Team Epic）  ,pipimi
波加曼（宝可梦）  ,piplup
彼特（光神话）  ,pit (kid icarus)
人偶（血源诅咒）  ,plain doll
普拉娜（蔚蓝档案）  ,plana (blue archive)
等离子酱（舰队Collection）,plasma-chan (kancolle)
白金（明日方舟）  ,platinum (arknights)
白金·特立尼蒂（苍翼默示录）,platinum the trinity
普露恩特（魔界战记）  ,pleinair
翎羽（明日方舟）  ,plume (arknights)
灵魂（异度神剑2）,pneuma (xenoblade)
波奇塔（电锯人）  ,pochita (chainsaw man)
辅助机（尼尔：自动人形）  ,pod (nier automata)
毒药（快打旋风）  ,poison (final fight)
毒藤女（DC漫画）  ,poison ivy
波拉（碧蓝航线）  ,pola (azur lane)
波拉（舰队Collection）  ,pola (kancolle)
波拉·海滨偶遇（碧蓝航线）  ,pola (seaside coincidence) (azur lane)
蚊香蝌蚪（宝可梦）  ,poliwag
波鲁克斯（Fate）,pollux (fate)
帕姆（崩坏：星穹铁道）,pom-pom (honkai  star rail)
Pomu Rainpuff（彩虹社）,pomu rainpuff
Pomu Rainpuff（初始服装）（彩虹社）,pomu rainpuff (1st costume)
甲贺流忍者Ponpoko（VTuber）,ponpoko (vtuber)
花（异度神剑2）  ,poppi (xenoblade)
球球海狮（宝可梦）  ,popplio
POP子（pop子和pipi美）,popuko
波特卡斯·D·艾斯（海贼王）  ,portgas d. ace
波特兰（碧蓝航线）  ,portland (azur lane)
帕瓦（电锯人）  ,power (chainsaw man)
噗哟哟（百鬼绫目）,poyoyo (nakiri ayame)
鸿雪（明日方舟）,pozyomka (arknights)
PPK（少女前线）  ,ppk (girls' frontline)
初雪（明日方舟）  ,pramanix (arknights)
普丽希斯·F·诺依曼（星际之海EX）,precis neumann
女神官（哥布林杀手）,priestess (goblin slayer!)
兰陵王（Fate）,prince of lan ling (fate)
威尔士亲王（碧蓝航线）  ,prince of wales (azur lane)
泡泡糖公主（探险活宝）  ,princess bonnibel bubblegum
黛西公主（超级马里奥）  ,princess daisy
幽灵公主（超级马里奥）,princess king boo
月溪镇公主（勇者斗恶龙）,princess of moonbrook
水晶公主（回转企鹅罐）,princess of the crystal
碧琪公主（超级马里奥）  ,princess peach
倩妮迪公主（月野兔）（美少女战士）,princess serenity
塞尔达公主（塞尔达传说）  ,princess zelda
欧根亲王（碧蓝航线）  ,prinz eugen (azur lane)
欧根亲王·Final Lap（碧蓝航线）,prinz eugen (final lap) (azur lane)
欧根亲王（舰队Collection）  ,prinz eugen (kancolle)
欧根亲王·永不褪色的笑颜（碧蓝航线）,prinz eugen (unfading smile) (azur lane)
海因里希亲王（碧蓝航线）  ,prinz heinrich (azur lane)
伊莉雅（魔法少女伊莉雅）  ,prisma illya
普丽瓦蒂（NIKKE）,privaty (nikke)
武内P（偶像大师灰姑娘女孩动画）,producer (idolmaster cinderella girls anime)
笑面教授（蔚蓝档案）,professor niyaniya (blue archive)
红（明日方舟）  ,projekt red (arknights)
主人公（恋与深空）  ,protagonist (love and deepspace)
主角（暗喻幻想）  ,protagonist (metaphor  refantazio)
主角（梦幻之星Online2）  ,protagonist (pso2)
主角三（东京放课后召唤师）  ,protagonist 3 (housamo)
千变的刺客·梅罗娜（女皇之刃）,protean assassin melona
普罗旺斯（明日方舟）  ,provence (arknights)
普鲁修卡（来自深渊）,prushka
灵蝶（X战警）  ,psylocke
白面鸮（明日方舟）  ,ptilopsis (arknights)
帕克（Re:从零开始）  ,puck (re zero)
噗尼露（噗尼露是可爱史莱姆）,puniru (puniru wa kawaii slime)
普尔亚（塞尔达传说）  ,purah
绀紫之心（超次元游戏海王星）,purple heart (neptunia)
紫之妹妹（超次元游戏海王星）,purple sister
普露露特（超次元游戏海王星）,pururut
噗呦（噗呦噗呦）  ,puyo (puyopuyo)
焰·泳装（异度神剑2）  ,pyra (pro swimmer) (xenoblade)
焰（异度神剑2）  ,pyra (xenoblade)
皮拉·尼可丝（RWBY）  ,pyrrha nikos
秦良玉（Fate）,qin liangyu (fate)
青雀（崩坏：星穹铁道）,qingque (honkai  star rail)
青衣（绝区零）,qingyi (zenless zone zero)
七七（原神）,qiqi (genshin impact)
伊丽莎白女王（碧蓝航线）,queen elizabeth (azur lane)
永恒女王玛莉卡（艾尔登法环）,queen marika the eternal
示巴女王（Fate）,queen of sheba (fate)
魁札尔·科亚特尔（Fate）,quetzalcoatl (fate)
雪音兔（VTuber）,rabbit yukine
蕾切尔·阿鲁卡多（苍翼默示录）,rachel alucard
瑞吉尔·加德纳（杀戮天使）,rachel gardner
拉克涅拉·蛛魔（魔物娘的相伴日常）,rachnera arachnera
赛车初音,racing miku
2022赛车初音,racing miku (2022)
拉格纳·布莱德艾奇（苍翼默示录）,ragna the bloodedge
雷丘,raichu
雷电（合金装备）,raiden (metal gear)
雷电芽衣,raiden mei
雷电芽衣·后崩坏书版（崩坏3rd）,raiden mei (apho)
雷电芽衣·始源之律者（崩坏3rd）,raiden mei (herrscher of origin)
雷电芽衣·雷之律者（崩坏3rd）,raiden mei (herrscher of thunder)
雷电将军（原神）,raiden shogun
奇巴纳（宝可梦）,raihan (pokemon)
云宝黛西（彩虹小马）,rainbow dash
Ralsei（DELTARUNE）,ralsei
拉姆（Re:从零开始的异世界生活）,ram (re zero)
拉姆蕾瓦尔·瓦伦泰（罪恶装备）,ramlethal valentine
突击者（舰队Collection）,ranger (kancolle)
兰花·李（超时空要塞F）,ranka lee
乱马·女体（乱马½）,ranma-chan
魔女菈妮（艾尔登法环）,ranni the witch
兰花·佛兰波瓦兹（银河天使）,ranpha franboise
拉欧拉·潘特拉(（Arknights）,raora panthera
拉欧拉·潘特拉（初始服装）（Hololive）,raora panthera (1st costume)
拉芙塔莉雅（盾之勇者成名录）,raphtalia
拉毗（NIKKE）,rapi (nikke)
乐佩公主（迪士尼）,rapunzel (disney)
珍奇（我的小马驹：友谊是魔法）,rarity (my little pony)
贝莉儿（魔界战记3）,raspberyl
拉特娜·葡蒂（彩虹社）,ratna petit
渡鸦（DC）,raven (dc)
雷泽（原神）,razor (genshin impact)
Re级战舰（舰队Collection）,re-class battleship
黎恩·舒华泽（英雄传说 闪之轨迹）,rean schwarzer
丽贝卡（赛博朋克2077）,rebecca (cyberpunk)
丽贝卡·宫本（不可思议的教室）,rebecca miyamoto
赤红（宝可梦）,red (pokemon)
红细胞（工作细胞）,red blood cell (hataraku saibou)
小红帽（NIKKE）,red hood (nikke)
赤魔法师（Final Fantasy）,red mage (final fantasy)
红色皮克敏（皮克敏）,red pikmin
小红帽（死亡爱丽丝）,red riding hood (sinoalice)
红色奇诺比奥（超级马里奥）,red toad (mario)
苇草（明日方舟）,reed (arknights)
焰影苇草（明日方舟）,reed the flame shadow (arknights)
鹿山丽情（碧蓝档案）,reijo (blue archive)
远藤丽梦（彩虹社）,reimu endou
莱纳·布朗（进击的巨人）,reiner braun
莱妮丝·埃尔梅罗·阿奇佐尔缇（Fate）,reines el-melloi archisorte
琳芙斯（魔法少女奈叶）,reinforce
琳芙斯II（魔法少女奈叶）,reinforce zwei
宇泽玲纱（Blue Archive）,reisa (blue archive)
莱莎琳·斯托特（莱莎的炼金工房）,reisalin stout
铃仙（东方永夜抄）,reisen (touhou bougetsushou)
铃仙·优昙华院·因幡（东方Project）,reisen udongein inaba
灵乌路空（东方Project）,reiuji utsuho
灵乌路空·鸟形态（东方Project）,reiuji utsuho (bird)
冷泉麻子（少女与战车）,reizei mako
雷姆（Re:从零开始的异世界生活）,rem (re zero)
蕾米莉亚·斯卡蕾特（东方Project）,remilia scarlet
蕾娜·艾琳黛尔（艾尔之光）,rena erindel
蕾娜·朗福德（星之海洋EX）,rena lanford
不破莲华（碧蓝档案）,renge (blue archive)
炼狱杏寿郎（鬼灭之刃）,rengoku kyoujurou
玲·布莱特（英雄传说 轨迹系列）,renne (eiyuu densetsu)
里诺（碧蓝航线）,reno (azur lane)
雷诺（最终幻想7）,reno (ff7)
连装炮酱（舰队Collection）,rensouhou-chan
连装炮君（舰队Collection）,rensouhou-kun
雷欧那·威斯特（美妙天堂）,reona west
里帕蒂（Tales of Vesperia）,repede (tales)
救援队员（皮克敏）,rescue officer (pikmin)
莱希拉姆（宝可梦）,reshiram
雷克斯（异度神剑）,rex (xenoblade)
岩王帝君（原神）,rex lapis (genshin impact)
蕾塞（电锯人）,reze (chainsaw man)
Rfb（少女前线）,rfb (girls' frontline)
蕾雅（火焰之纹章风花雪月）,rhea (fire emblem)
莱茵之力（赛马娘）,rhein kraft (umamusume)
莉亚丝·吉蒙里（恶魔高校D×D）,rias gremory
里贝罗勒（少女前线）,ribeyrolles (girls' frontline)
米浴（化妆吸血鬼！）（赛马娘）,rice shower (make up vampire!) (umamusume)
